Date,Buy_Qty,Sell_Qty,Net_Qty,Buy_Amount,Sell_Amount,Net_Amount
2025-11-06,0,487,-487,0.0,215239.0,-215239.0
2025-11-09,272,20,252,118404.0,8829.0,109575.0
2025-11-10,57,50,7,24606.0,21621.0,2985.0
2025-11-11,110,312,-202,48796.0,137738.0,-88942.0
2025-11-12,20,40,-20,8660.0,17406.0,-8746.0
2025-11-13,0,360,-360,0.0,157752.0,-157752.0
2025-11-16,1601,529,1072,733985.0,242337.0,491648.0
2025-11-17,550,120,430,252550.0,54511.0,198039.0
2025-11-18,60,370,-310,27430.0,170575.0,-143145.0
2025-11-19,78,20,58,35712.0,9040.0,26672.0
2025-11-20,700,120,580,313390.0,54652.0,258738.0
2025-11-23,10,899,-889,4580.0,411708.0,-407128.0
2025-11-24,30,185,-155,13699.0,84724.0,-71025.0
2025-11-25,749,375,374,350042.0,174123.0,175919.0
2025-11-26,0,390,-390,0.0,183068.0,-183068.0
2025-11-27,0,760,-760,0.0,354483.0,-354483.0
2025-11-30,80,163,-83,36449.0,74749.0,-38300.0
2025-12-01,15,70,-55,6825.0,31914.0,-25089.0
2025-12-02,95,229,-134,43345.0,103931.0,-60586.0
2025-12-03,140,70,70,63593.0,32230.0,31363.0
2025-12-07,165,720,-555,74910.0,325128.0,-250218.0
2025-12-08,270,125,145,123030.0,56955.0,66075.0
2025-12-09,1278,455,823,601634.0,213760.0,387874.0
2025-12-10,615,650,-35,293710.0,312004.0,-18294.0
2025-12-11,655,540,115,316539.0,258240.0,58299.0
2025-12-14,20,190,-170,9317.0,88516.0,-79199.0
2025-12-15,6,889,-883,2760.0,409876.0,-407116.0
2025-12-16,157,373,-216,72925.0,173545.0,-100620.0
2025-12-17,40,202,-162,18548.0,93432.0,-74884.0
2025-12-18,250,81,169,116496.0,37727.0,78769.0
2025-12-21,10,110,-100,4559.0,50414.0,-45855.0
2025-12-22,45,60,-15,20250.0,27117.0,-6867.0
2025-12-23,1010,170,840,458640.0,76698.0,381942.0
2025-12-24,0,130,-130,0.0,58841.0,-58841.0
2025-12-28,20,424,-404,9170.0,194639.0,-185469.0
2025-12-29,55,371,-316,25100.0,169491.0,-144391.0
2025-12-31,3219,335,2884,1495346.0,155314.0,1340032.0
2026-01-01,60,481,-421,27635.0,220894.0,-193259.0
2026-01-04,130,80,50,59370.0,36602.0,22768.0
2026-01-05,75,435,-360,34410.0,201685.0,-167275.0
2026-01-06,540,1310,-770,256144.0,621926.0,-365782.0
2026-01-07,100,310,-210,46100.0,146179.0,-100079.0
2026-01-08,350,1070,-720,159955.0,489465.0,-329510.0
2026-01-12,180,2259,-2079,82049.0,1035041.0,-952992.0
2026-01-13,161,1180,-1019,73100.0,534962.0,-461862.0
2026-01-14,484,670,-186,220757.0,304287.0,-83530.0
2026-01-18,0,120,-120,0.0,54545.0,-54545.0
2026-01-20,309,639,-330,140306.0,290737.0,-150431.0
2026-01-21,719,885,-166,329575.0,408879.0,-79304.0
2026-01-22,625,50,575,287807.0,23153.0,264654.0
2026-01-25,100,1062,-962,46588.0,498062.0,-451474.0
2026-01-26,544,845,-301,255695.0,399548.0,-143853.0
2026-01-27,17059,915,16144,8276397.0,445854.0,7830543.0
2026-01-28,4901,1708,3193,2470638.0,865321.0,1605317.0
2026-01-29,912,1306,-394,459623.0,648874.0,-189251.0
2026-02-01,8993,270,8723,4339453.0,131331.0,4208122.0
2026-02-02,16632,449,16183,8078555.5,219133.0,7859422.5
2026-02-03,15789,912,14877,7735263.0,450505.0,7284758.0
2026-02-04,8213,1153,7060,4147144.0,585401.0,3561743.0
2026-02-05,36449,27833,8616,19247824.0,13824346.0,5423478.0
2026-02-08,22013,3750,18263,11974839.0,2046222.0,9928617.0
2026-02-09,39919,20995,18924,21761017.0,11617645.0,10143372.0
2026-02-10,27371,6116,21255,14810500.0,3339557.0,11470943.0
2026-02-11,23131,7672,15459,12317133.0,4106918.0,8210215.0
2026-02-12,5193,3047,2146,2773627.0,1624906.0,1148721.0
2026-02-16,8148,1654,6494,4357997.0,882396.0,3475601.0
2026-02-17,5725,3503,2222,3035587.0,1858225.0,1177362.0
2026-02-22,1937,3481,-1544,1012929.0,1823834.0,-810905.0
